,YearSchluessel,Year,Stadt-/Landkreis,Mindestsicherungsquote in %,LAND_NAME,LAND_ABK
7334,201707334,2017,Landkreis Germersheim,6.2,Rheinland-Pfalz,RP
7335,201307335,2013,Landkreis Kaiserslautern (Land),5.800000000000001,Rheinland-Pfalz,RP
7335,201707335,2017,Landkreis Kaiserslautern (Land),6.6000000000000005,Rheinland-Pfalz,RP
7336,201307336,2013,Landkreis Kusel,6.5,Rheinland-Pfalz,RP
7336,201707336,2017,Landkreis Kusel,6.800000000000001,Rheinland-Pfalz,RP
7337,201307337,2013,Landkreis Südliche Weinstrasse,4.4,Rheinland-Pfalz,RP
7337,201707337,2017,Landkreis Südliche Weinstrasse,5.4,Rheinland-Pfalz,RP
7338,201307338,2013,Rhein-Pfalz-Kreis,3.8000000000000003,Rheinland-Pfalz,RP
7338,201707338,2017,Rhein-Pfalz-Kreis,4.5,Rheinland-Pfalz,RP
7339,201307339,2013,Landkreis Mainz-Bingen,4.800000000000001,Rheinland-Pfalz,RP
7339,201707339,2017,Landkreis Mainz-Bingen,5.5,Rheinland-Pfalz,RP
7340,201307340,2013,Landkreis Südwestpfalz,3.7,Rheinland-Pfalz,RP
7340,201707340,2017,Landkreis Südwestpfalz,4.1000000000000005,Rheinland-Pfalz,RP
8111,201308111,2013,Stuttgart,8.0,Baden-Württemberg,BW
8111,201708111,2017,Stuttgart,8.700000000000001,Baden-Württemberg,BW
8115,201308115,2013,Landkreis Böblingen,4.0,Baden-Württemberg,BW
8115,201708115,2017,Landkreis Böblingen,4.6000000000000005,Baden-Württemberg,BW
8116,201308116,2013,Landkreis Esslingen,4.6000000000000005,Baden-Württemberg,BW
8116,201708116,2017,Landkreis Esslingen,5.300000000000001,Baden-Württemberg,BW
8117,201308117,2013,Landkreis Göppingen,5.0,Baden-Württemberg,BW
8117,201708117,2017,Landkreis Göppingen,6.1000000000000005,Baden-Württemberg,BW
8118,201308118,2013,Landkreis Ludwigsburg,4.4,Baden-Württemberg,BW
8118,201708118,2017,Landkreis Ludwigsburg,4.9,Baden-Württemberg,BW
8119,201308119,2013,Rems-Murr-Kreis,5.0,Baden-Württemberg,BW
8119,201708119,2017,Rems-Murr-Kreis,6.1000000000000005,Baden-Württemberg,BW
8121,201308121,2013,Heilbronn,8.0,Baden-Württemberg,BW
8121,201708121,2017,Heilbronn,8.8,Baden-Württemberg,BW
8125,201308125,2013,Landkreis Heilbronn (Land),3.8000000000000003,Baden-Württemberg,BW
8125,201708125,2017,Landkreis Heilbronn (Land),4.800000000000001,Baden-Württemberg,BW
8126,201308126,2013,Hohenlohekreis,3.0,Baden-Württemberg,BW
8126,201708126,2017,Hohenlohekreis,3.3000000000000003,Baden-Württemberg,BW
8127,201308127,2013,Landkreis Schwäbisch Hall,4.2,Baden-Württemberg,BW
8127,201708127,2017,Landkreis Schwäbisch Hall,4.9,Baden-Württemberg,BW
8128,201308128,2013,Main-Tauber-Kreis,3.5,Baden-Württemberg,BW
8128,201708128,2017,Main-Tauber-Kreis,4.3,Baden-Württemberg,BW
8135,201308135,2013,Landkreis Heidenheim,5.5,Baden-Württemberg,BW
8135,201708135,2017,Landkreis Heidenheim,6.7,Baden-Württemberg,BW
8136,201308136,2013,Ostalbkreis,4.3,Baden-Württemberg,BW
8136,201708136,2017,Ostalbkreis,4.6000000000000005,Baden-Württemberg,BW
8211,201308211,2013,Baden-Baden,7.1000000000000005,Baden-Württemberg,BW
8211,201708211,2017,Baden-Baden,7.800000000000001,Baden-Württemberg,BW
8212,201308212,2013,Karlsruhe,7.7,Baden-Württemberg,BW
8212,201708212,2017,Karlsruhe,7.2,Baden-Württemberg,BW
8215,201308215,2013,Landkreis Karlsruhe (Land),3.5,Baden-Württemberg,BW
8215,201708215,2017,Landkreis Karlsruhe (Land),4.3,Baden-Württemberg,BW
8216,201308216,2013,Landkreis Rastatt,4.1000000000000005,Baden-Württemberg,BW
8216,201708216,2017,Landkreis Rastatt,4.800000000000001,Baden-Württemberg,BW
8221,201308221,2013,Heidelberg,5.9,Baden-Württemberg,BW
8221,201708221,2017,Heidelberg,6.300000000000001,Baden-Württemberg,BW
8222,201308222,2013,Mannheim,10.8,Baden-Württemberg,BW
8222,201708222,2017,Mannheim,11.5,Baden-Württemberg,BW
8225,201308225,2013,Neckar-Odenwald-Kreis,4.4,Baden-Württemberg,BW
8225,201708225,2017,Neckar-Odenwald-Kreis,4.9,Baden-Württemberg,BW
8226,201308226,2013,Rhein-Neckar-Kreis,4.9,Baden-Württemberg,BW
8226,201708226,2017,Rhein-Neckar-Kreis,5.800000000000001,Baden-Württemberg,BW
8231,201308231,2013,Pforzheim,10.5,Baden-Württemberg,BW
8231,201708231,2017,Pforzheim,11.5,Baden-Württemberg,BW
8235,201308235,2013,Landkreis Calw,3.8000000000000003,Baden-Württemberg,BW
8235,201708235,2017,Landkreis Calw,4.3,Baden-Württemberg,BW
8236,201308236,2013,Enzkreis,2.7,Baden-Württemberg,BW
8236,201708236,2017,Enzkreis,3.6,Baden-Württemberg,BW
8237,201308237,2013,Landkreis Freudenstadt,3.5,Baden-Württemberg,BW
8237,201708237,2017,Landkreis Freudenstadt,4.4,Baden-Württemberg,BW
8311,201308311,2013,Freiburg im Breisgau,8.9,Baden-Württemberg,BW
8311,201708311,2017,Freiburg im Breisgau,9.1,Baden-Württemberg,BW
8315,201308315,2013,Landkreis Breisgau-Hochschwarzwald,4.0,Baden-Württemberg,BW
8315,201708315,2017,Landkreis Breisgau-Hochschwarzwald,4.7,Baden-Württemberg,BW
8316,201308316,2013,Landkreis Emmendingen,4.0,Baden-Württemberg,BW
8316,201708316,2017,Landkreis Emmendingen,4.800000000000001,Baden-Württemberg,BW
8317,201308317,2013,Ortenaukreis,4.800000000000001,Baden-Württemberg,BW
8317,201708317,2017,Ortenaukreis,5.300000000000001,Baden-Württemberg,BW
8325,201308325,2013,Landkreis Rottweil,3.6,Baden-Württemberg,BW
8325,201708325,2017,Landkreis Rottweil,4.3,Baden-Württemberg,BW
8326,201308326,2013,Schwarzwald-Baar-Kreis,4.7,Baden-Württemberg,BW
8326,201708326,2017,Schwarzwald-Baar-Kreis,5.0,Baden-Württemberg,BW
8327,201308327,2013,Landkreis Tuttlingen,3.9000000000000004,Baden-Württemberg,BW
8327,201708327,2017,Landkreis Tuttlingen,4.6000000000000005,Baden-Württemberg,BW
8335,201308335,2013,Landkreis Konstanz,5.0,Baden-Württemberg,BW
8335,201708335,2017,Landkreis Konstanz,5.7,Baden-Württemberg,BW
8336,201308336,2013,Landkreis Lörrach,4.800000000000001,Baden-Württemberg,BW
8336,201708336,2017,Landkreis Lörrach,5.2,Baden-Württemberg,BW
8337,201308337,2013,Landkreis Waldshut,3.8000000000000003,Baden-Württemberg,BW
8337,201708337,2017,Landkreis Waldshut,4.5,Baden-Württemberg,BW
8415,201308415,2013,Landkreis Reutlingen,4.9,Baden-Württemberg,BW
8415,201708415,2017,Landkreis Reutlingen,5.9,Baden-Württemberg,BW
8416,201308416,2013,Landkreis Tübingen,4.1000000000000005,Baden-Württemberg,BW
8416,201708416,2017,Landkreis Tübingen,4.7,Baden-Württemberg,BW
8417,201308417,2013,Zollernalbkreis,4.2,Baden-Württemberg,BW
8417,201708417,2017,Zollernalbkreis,3.8000000000000003,Baden-Württemberg,BW
8421,201308421,2013,Ulm,5.7,Baden-Württemberg,BW
8421,201708421,2017,Ulm,6.6000000000000005,Baden-Württemberg,BW
8425,201308425,2013,Alb-Donau-Kreis,2.7,Baden-Württemberg,BW
8425,201708425,2017,Alb-Donau-Kreis,3.5,Baden-Württemberg,BW
8426,201308426,2013,Landkreis Biberach,2.8000000000000003,Baden-Württemberg,BW
8426,201708426,2017,Landkreis Biberach,3.9000000000000004,Baden-Württemberg,BW
8435,201308435,2013,Bodenseekreis,3.5,Baden-Württemberg,BW
8435,201708435,2017,Bodenseekreis,4.6000000000000005,Baden-Württemberg,BW
8436,201308436,2013,Landkreis Ravensburg,3.9000000000000004,Baden-Württemberg,BW
8436,201708436,2017,Landkreis Ravensburg,4.7,Baden-Württemberg,BW
8437,201308437,2013,Landkreis Sigmaringen,3.9000000000000004,Baden-Württemberg,BW
8437,201708437,2017,Landkreis Sigmaringen,4.5,Baden-Württemberg,BW
9161,201309161,2013,Ingolstadt,5.7,Bayern,BY
9161,201709161,2017,Ingolstadt,6.800000000000001,Bayern,BY
9162,201309162,2013,München,6.800000000000001,Bayern,BY
9162,201709162,2017,München,7.0,Bayern,BY
9163,201309163,2013,Rosenheim,6.800000000000001,Bayern,BY
9163,201709163,2017,Rosenheim,7.4,Bayern,BY
9171,201309171,2013,Landkreis Altötting,4.3,Bayern,BY
9171,201709171,2017,Landkreis Altötting,5.1000000000000005,Bayern,BY
9172,201309172,2013,Landkreis Berchtesgadener Land,3.6,Bayern,BY
9172,201709172,2017,Landkreis Berchtesgadener Land,4.2,Bayern,BY
9173,201309173,2013,Landkreis Bad Tölz-Wolfratshausen,3.2,Bayern,BY
9173,201709173,2017,Landkreis Bad Tölz-Wolfratshausen,4.1000000000000005,Bayern,BY
9174,201309174,2013,Landkreis Dachau,2.9000000000000004,Bayern,BY
9174,201709174,2017,Landkreis Dachau,3.2,Bayern,BY
9175,201309175,2013,Landkreis Ebersberg,2.2,Bayern,BY
9175,201709175,2017,Landkreis Ebersberg,2.6,Bayern,BY
9176,201309176,2013,Landkreis Eichstätt,1.2000000000000002,Bayern,BY
9176,201709176,2017,Landkreis Eichstätt,2.6,Bayern,BY
9177,201309177,2013,Landkreis Erding,2.6,Bayern,BY
9177,201709177,2017,Landkreis Erding,3.1,Bayern,BY
9178,201309178,2013,Landkreis Freising,1.8,Bayern,BY
9178,201709178,2017,Landkreis Freising,2.6,Bayern,BY
9179,201309179,2013,Landkreis Fürstenfeldbruck,3.7,Bayern,BY
9179,201709179,2017,Landkreis Fürstenfeldbruck,4.6000000000000005,Bayern,BY
9180,201309180,2013,Landkreis Garmisch-Partenkirchen,3.8000000000000003,Bayern,BY
9180,201709180,2017,Landkreis Garmisch-Partenkirchen,5.1000000000000005,Bayern,BY
9181,201309181,2013,Landkreis Landsberg am Lech,2.7,Bayern,BY
9181,201709181,2017,Landkreis Landsberg am Lech,3.5,Bayern,BY
9182,201309182,2013,Landkreis Miesbach,2.6,Bayern,BY
9182,201709182,2017,Landkreis Miesbach,2.8000000000000003,Bayern,BY
9183,201309183,2013,Landkreis Mühldorf am Inn,4.6000000000000005,Bayern,BY
9183,201709183,2017,Landkreis Mühldorf am Inn,5.6000000000000005,Bayern,BY
9184,201309184,2013,Landkreis München (Land),2.9000000000000004,Bayern,BY
9184,201709184,2017,Landkreis München (Land),3.7,Bayern,BY
9185,201309185,2013,Landkreis Neuburg-Schrobenhausen,2.6,Bayern,BY
9185,201709185,2017,Landkreis Neuburg-Schrobenhausen,3.1,Bayern,BY
9186,201309186,2013,Landkreis Pfaffenhofen an der Ilm,1.8,Bayern,BY
9186,201709186,2017,Landkreis Pfaffenhofen an der Ilm,2.6,Bayern,BY
9187,201309187,2013,Landkreis Rosenheim (Land),2.8000000000000003,Bayern,BY
9187,201709187,2017,Landkreis Rosenheim (Land),3.5,Bayern,BY
9188,201309188,2013,Landkreis Starnberg,2.5,Bayern,BY
9188,201709188,2017,Landkreis Starnberg,3.6,Bayern,BY
9189,201309189,2013,Landkreis Traunstein,3.4000000000000004,Bayern,BY
9189,201709189,2017,Landkreis Traunstein,3.9000000000000004,Bayern,BY
9190,201309190,2013,Landkreis Weilheim-Schongau,3.3000000000000003,Bayern,BY
9190,201709190,2017,Landkreis Weilheim-Schongau,4.2,Bayern,BY
9261,201309261,2013,Landshut,5.800000000000001,Bayern,BY
9261,201709261,2017,Landshut,6.5,Bayern,BY
9262,201309262,2013,Passau,6.6000000000000005,Bayern,BY
9262,201709262,2017,Passau,7.5,Bayern,BY
9263,201309263,2013,Straubing,9.3,Bayern,BY
9263,201709263,2017,Straubing,9.200000000000001,Bayern,BY
9271,201309271,2013,Landkreis Deggendorf,4.1000000000000005,Bayern,BY
9271,201709271,2017,Landkreis Deggendorf,4.1000000000000005,Bayern,BY
9272,201309272,2013,Landkreis Freyung-Grafenau,2.9000000000000004,Bayern,BY
9272,201709272,2017,Landkreis Freyung-Grafenau,2.8000000000000003,Bayern,BY
9273,201309273,2013,Landkreis Kehlheim,1.9000000000000001,Bayern,BY
9273,201709273,2017,Landkreis Kehlheim,2.9000000000000004,Bayern,BY
9274,201309274,2013,Landkreis Landshut (Land),2.2,Bayern,BY
9274,201709274,2017,Landkreis Landshut (Land),2.7,Bayern,BY
9275,201309275,2013,Landkreis Passau (Land),3.5,Bayern,BY
9275,201709275,2017,Landkreis Passau (Land),4.3,Bayern,BY
9276,201309276,2013,Landkreis Regen,3.2,Bayern,BY
9276,201709276,2017,Landkreis Regen,4.3,Bayern,BY
9277,201309277,2013,Landkreis Rottal-Inn,3.1,Bayern,BY
9277,201709277,2017,Landkreis Rottal-Inn,3.9000000000000004,Bayern,BY
9278,201309278,2013,Landkreis Straubing-Bogen,2.6,Bayern,BY
9278,201709278,2017,Landkreis Straubing-Bogen,2.8000000000000003,Bayern,BY
9279,201309279,2013,Landkreis Dingolfing-Landau,2.1,Bayern,BY
9279,201709279,2017,Landkreis Dingolfing-Landau,2.8000000000000003,Bayern,BY
9361,201309361,2013,Amberg,7.7,Bayern,BY
9361,201709361,2017,Amberg,8.9,Bayern,BY
9362,201309362,2013,Regensburg,7.0,Bayern,BY
9362,201709362,2017,Regensburg,7.1000000000000005,Bayern,BY
9363,201309363,2013,Weiden in der Oberpfalz,10.8,Bayern,BY
9363,201709363,2017,Weiden in der Oberpfalz,10.5,Bayern,BY
9371,201309371,2013,Landkreis Amberg-Sulzbach,3.2,Bayern,BY
9371,201709371,2017,Landkreis Amberg-Sulzbach,3.6,Bayern,BY
9372,201309372,2013,Landkreis Cham,2.7,Bayern,BY
9372,201709372,2017,Landkreis Cham,3.4000000000000004,Bayern,BY
9373,201309373,2013,Landkreis Neumarkt in der Oberpfalz,2.4000000000000004,Bayern,BY
9373,201709373,2017,Landkreis Neumarkt in der Oberpfalz,3.0,Bayern,BY
9374,201309374,2013,Landkreis Neustadt an der Waldnaab,3.5,Bayern,BY
9374,201709374,2017,Landkreis Neustadt an der Waldnaab,4.0,Bayern,BY
9375,201309375,2013,Landkreis Regensburg (Land),2.3000000000000003,Bayern,BY
9375,201709375,2017,Landkreis Regensburg (Land),2.9000000000000004,Bayern,BY
9376,201309376,2013,Landkreis Schwandorf,3.3000000000000003,Bayern,BY
9376,201709376,2017,Landkreis Schwandorf,4.0,Bayern,BY
9377,201309377,2013,Landkreis Tirschenreuth,3.8000000000000003,Bayern,BY
9377,201709377,2017,Landkreis Tirschenreuth,3.9000000000000004,Bayern,BY
9461,201309461,2013,Bamberg,6.300000000000001,Bayern,BY
9461,201709461,2017,Bamberg,8.4,Bayern,BY
9462,201309462,2013,Bayreuth,8.200000000000001,Bayern,BY
9462,201709462,2017,Bayreuth,8.1,Bayern,BY
9463,201309463,2013,Coburg,7.800000000000001,Bayern,BY
9463,201709463,2017,Coburg,8.5,Bayern,BY
9464,201309464,2013,Hof,11.9,Bayern,BY
9464,201709464,2017,Hof,14.3,Bayern,BY
9471,201309471,2013,Landkreis Bamberg (Land),2.2,Bayern,BY
9471,201709471,2017,Landkreis Bamberg (Land),2.6,Bayern,BY
9472,201309472,2013,Landkreis Bayreuth (Land),2.7,Bayern,BY
9472,201709472,2017,Landkreis Bayreuth (Land),3.0,Bayern,BY
9473,201309473,2013,Landkreis Coburg (Land),3.6,Bayern,BY
9473,201709473,2017,Landkreis Coburg (Land),4.3,Bayern,BY
9474,201309474,2013,Landkreis Forchheim,2.9000000000000004,Bayern,BY
9474,201709474,2017,Landkreis Forchheim,3.6,Bayern,BY
9475,201309475,2013,Landkreis Hof (Land),4.4,Bayern,BY
9475,201709475,2017,Landkreis Hof (Land),4.6000000000000005,Bayern,BY
9476,201309476,2013,Landkreis Kronach,3.4000000000000004,Bayern,BY
9476,201709476,2017,Landkreis Kronach,3.6,Bayern,BY
9477,201309477,2013,Landkreis Kulmbach,4.6000000000000005,Bayern,BY
9477,201709477,2017,Landkreis Kulmbach,4.7,Bayern,BY
9478,201309478,2013,Landkreis Lichtenfels,4.1000000000000005,Bayern,BY
9478,201709478,2017,Landkreis Lichtenfels,4.7,Bayern,BY
9479,201309479,2013,Landkreis Wunsiedel im Fichtelgebirge,6.2,Bayern,BY
9479,201709479,2017,Landkreis Wunsiedel im Fichtelgebirge,7.2,Bayern,BY
9561,201309561,2013,Ansbach,7.7,Bayern,BY
9561,201709561,2017,Ansbach,9.8,Bayern,BY
9562,201309562,2013,Erlangen,5.300000000000001,Bayern,BY
9562,201709562,2017,Erlangen,6.0,Bayern,BY
9563,201309563,2013,Fürth,8.700000000000001,Bayern,BY
9563,201709563,2017,Fürth,9.3,Bayern,BY
9564,201309564,2013,Nürnberg,11.3,Bayern,BY
9564,201709564,2017,Nürnberg,11.4,Bayern,BY
9565,201309565,2013,Schwabach,5.7,Bayern,BY
9565,201709565,2017,Schwabach,6.5,Bayern,BY
9571,201309571,2013,Landkreis Ansbach (Land),2.9000000000000004,Bayern,BY
9571,201709571,2017,Landkreis Ansbach (Land),3.1,Bayern,BY
9572,201309572,2013,Landkreis Erlangen-Höchstadt,2.1,Bayern,BY
9572,201709572,2017,Landkreis Erlangen-Höchstadt,2.9000000000000004,Bayern,BY
9573,201309573,2013,Landkreis Fürth (Land),3.6,Bayern,BY
9573,201709573,2017,Landkreis Fürth (Land),2.7,Bayern,BY
9574,201309574,2013,Landkreis Nürnberger Land,2.9000000000000004,Bayern,BY
9574,201709574,2017,Landkreis Nürnberger Land,3.9000000000000004,Bayern,BY
9575,201309575,2013,Landkreis Neustadt an der Aisch-Bad Windsheim,3.1,Bayern,BY
9575,201709575,2017,Landkreis Neustadt an der Aisch-Bad Windsheim,4.0,Bayern,BY
9576,201309576,2013,Landkreis Roth,2.9000000000000004,Bayern,BY
9576,201709576,2017,Landkreis Roth,3.4000000000000004,Bayern,BY
9577,201309577,2013,Landkreis Weißenburg-Gunzenhausen,3.9000000000000004,Bayern,BY
9577,201709577,2017,Landkreis Weißenburg-Gunzenhausen,4.7,Bayern,BY
9661,201309661,2013,Aschaffenburg,9.200000000000001,Bayern,BY
9661,201709661,2017,Aschaffenburg,10.3,Bayern,BY
9662,201309662,2013,Schweinfurt,11.3,Bayern,BY
9662,201709662,2017,Schweinfurt,13.200000000000001,Bayern,BY
9663,201309663,2013,Würzburg,7.300000000000001,Bayern,BY
9663,201709663,2017,Würzburg,7.800000000000001,Bayern,BY
9671,201309671,2013,Landkreis Aschaffenburg (Land),3.0,Bayern,BY
9671,201709671,2017,Landkreis Aschaffenburg (Land),4.0,Bayern,BY
9672,201309672,2013,Landkreis Bad Kissingen,4.0,Bayern,BY
9672,201709672,2017,Landkreis Bad Kissingen,4.4,Bayern,BY
9673,201309673,2013,Landkreis Rhön-Grabfeld,3.0,Bayern,BY
9673,201709673,2017,Landkreis Rhön-Grabfeld,3.7,Bayern,BY
9674,201309674,2013,Landkreis Haßberge,3.2,Bayern,BY
9674,201709674,2017,Landkreis Haßberge,3.6,Bayern,BY
9675,201309675,2013,Landkreis Kitzingen,3.4000000000000004,Bayern,BY
9675,201709675,2017,Landkreis Kitzingen,3.7,Bayern,BY
9676,201309676,2013,Landkreis Miltenberg,3.6,Bayern,BY
9676,201709676,2017,Landkreis Miltenberg,4.0,Bayern,BY
9677,201309677,2013,Landkreis Main-Spessart,2.5,Bayern,BY
9677,201709677,2017,Landkreis Main-Spessart,3.2,Bayern,BY
9678,201309678,2013,Landkreis Schweinfurt (Land),2.4000000000000004,Bayern,BY
9678,201709678,2017,Landkreis Schweinfurt (Land),3.1,Bayern,BY
9679,201309679,2013,Landkreis Würzburg (Land),2.5,Bayern,BY
9679,201709679,2017,Landkreis Würzburg (Land),3.1,Bayern,BY
9761,201309761,2013,Augsburg,7.9,Bayern,BY
9761,201709761,2017,Augsburg,7.800000000000001,Bayern,BY
9762,201309762,2013,Kaufbeuren,6.800000000000001,Bayern,BY
9762,201709762,2017,Kaufbeuren,7.4,Bayern,BY
9763,201309763,2013,Kempten (Allgäu),6.0,Bayern,BY
9763,201709763,2017,Kempten (Allgäu),6.6000000000000005,Bayern,BY
9764,201309764,2013,Memmingen,4.3,Bayern,BY
9764,201709764,2017,Memmingen,4.9,Bayern,BY
9771,201309771,2013,Landkreis Aichach-Friedberg,2.1,Bayern,BY
9771,201709771,2017,Landkreis Aichach-Friedberg,2.7,Bayern,BY
9772,201309772,2013,Landkreis Augsburg Land,2.7,Bayern,BY
9772,201709772,2017,Landkreis Augsburg Land,3.4000000000000004,Bayern,BY
9773,201309773,2013,Landkreis Dillingen an der Donau,3.2,Bayern,BY
9773,201709773,2017,Landkreis Dillingen an der Donau,4.2,Bayern,BY
9774,201309774,2013,Landkreis Günzburg,3.3000000000000003,Bayern,BY
9774,201709774,2017,Landkreis Günzburg,3.6,Bayern,BY
9775,201309775,2013,Landkreis Neu-Ulm,3.8000000000000003,Bayern,BY
9775,201709775,2017,Landkreis Neu-Ulm,4.0,Bayern,BY
9776,201309776,2013,Landkreis Lindau (Bodensee),3.2,Bayern,BY
9776,201709776,2017,Landkreis Lindau (Bodensee),3.9000000000000004,Bayern,BY
9777,201309777,2013,Landkreis Ostallgäu,2.0,Bayern,BY
9777,201709777,2017,Landkreis Ostallgäu,2.9000000000000004,Bayern,BY
9778,201309778,2013,Landkreis Unterallgäu,1.7000000000000002,Bayern,BY
9778,201709778,2017,Landkreis Unterallgäu,2.5,Bayern,BY
9779,201309779,2013,Landkreis Donau-Ries,2.2,Bayern,BY
9779,201709779,2017,Landkreis Donau-Ries,3.0,Bayern,BY
9780,201309780,2013,Landkreis Oberallgäu,2.5,Bayern,BY
9780,201709780,2017,Landkreis Oberallgäu,2.9000000000000004,Bayern,BY
10041,201310041,2013,Regionalverband Saarbrücken,13.3,Saarland,SL
10041,201710041,2017,Regionalverband Saarbrücken,15.5,Saarland,SL
10042,201310042,2013,Landkreis Merzig-Wadern,5.300000000000001,Saarland,SL
10042,201710042,2017,Landkreis Merzig-Wadern,6.7,Saarland,SL
10043,201310043,2013,Landkreis Neunkirchen,9.3,Saarland,SL
10043,201710043,2017,Landkreis Neunkirchen,11.4,Saarland,SL
10044,201310044,2013,Landkreis Saarlouis,7.6000000000000005,Saarland,SL
10044,201710044,2017,Landkreis Saarlouis,8.200000000000001,Saarland,SL
10045,201310045,2013,Saarpfalz-Kreis,6.300000000000001,Saarland,SL
10045,201710045,2017,Saarpfalz-Kreis,7.800000000000001,Saarland,SL
10046,201310046,2013,Landkreis St. Wendel,5.0,Saarland,SL
10046,201710046,2017,Landkreis St. Wendel,5.7,Saarland,SL
12051,201312051,2013,Brandenburg an der Havel,16.3,Brandenburg,BB
12051,201712051,2017,Brandenburg an der Havel,14.9,Brandenburg,BB
12052,201312052,2013,Cottbus,14.4,Brandenburg,BB
12052,201712052,2017,Cottbus,14.700000000000001,Brandenburg,BB
12053,201312053,2013,Frankfurt (Oder),16.900000000000002,Brandenburg,BB
12053,201712053,2017,Frankfurt (Oder),15.4,Brandenburg,BB
12054,201312054,2013,Potsdam,9.9,Brandenburg,BB
12054,201712054,2017,Potsdam,9.600000000000001,Brandenburg,BB
12060,201312060,2013,Landkreis Barnim,10.200000000000001,Brandenburg,BB
12060,201712060,2017,Landkreis Barnim,8.6,Brandenburg,BB
12061,201312061,2013,Landkreis Dahme-Spreewald,8.200000000000001,Brandenburg,BB
12061,201712061,2017,Landkreis Dahme-Spreewald,6.7,Brandenburg,BB
12062,201312062,2013,Landkreis Elbe-Elster,11.5,Brandenburg,BB
12062,201712062,2017,Landkreis Elbe-Elster,9.600000000000001,Brandenburg,BB
12063,201312063,2013,Landkreis Havelland,9.8,Brandenburg,BB
12063,201712063,2017,Landkreis Havelland,8.0,Brandenburg,BB
12064,201312064,2013,Landkreis Märkisch-Oderland,10.8,Brandenburg,BB
12064,201712064,2017,Landkreis Märkisch-Oderland,8.3,Brandenburg,BB
12065,201312065,2013,Landkreis Oberhavel,9.4,Brandenburg,BB
12065,201712065,2017,Landkreis Oberhavel,7.7,Brandenburg,BB
12066,201312066,2013,Landkreis Oberspreewald-Lausitz,13.3,Brandenburg,BB
12066,201712066,2017,Landkreis Oberspreewald-Lausitz,11.5,Brandenburg,BB
12067,201312067,2013,Landkreis Oder-Spree,11.9,Brandenburg,BB
12067,201712067,2017,Landkreis Oder-Spree,10.3,Brandenburg,BB
12068,201312068,2013,Landkreis Ostprignitz-Ruppin,13.9,Brandenburg,BB
12068,201712068,2017,Landkreis Ostprignitz-Ruppin,11.100000000000001,Brandenburg,BB
12069,201312069,2013,Landkreis Potsdam-Mittelmark,6.1000000000000005,Brandenburg,BB
12069,201712069,2017,Landkreis Potsdam-Mittelmark,5.0,Brandenburg,BB
12070,201312070,2013,Landkreis Prignitz,14.100000000000001,Brandenburg,BB
12070,201712070,2017,Landkreis Prignitz,12.3,Brandenburg,BB
12071,201312071,2013,Landkreis Spree-Neiße,11.4,Brandenburg,BB
12071,201712071,2017,Landkreis Spree-Neiße,9.4,Brandenburg,BB
12072,201312072,2013,Landkreis Teltow-Fläming,8.8,Brandenburg,BB
12072,201712072,2017,Landkreis Teltow-Fläming,7.6000000000000005,Brandenburg,BB
12073,201312073,2013,Landkreis Uckermark,16.8,Brandenburg,BB
12073,201712073,2017,Landkreis Uckermark,14.9,Brandenburg,BB
13001,201313001,2013,Greifswald,,Mecklenburg-Vorpommern,MV
13001,201713001,2017,Greifswald,,Mecklenburg-Vorpommern,MV
13002,201313002,2013,Neubrandenburg,,Mecklenburg-Vorpommern,MV
13002,201713002,2017,Neubrandenburg,,Mecklenburg-Vorpommern,MV
13003,201313003,2013,Rostock,14.8,Mecklenburg-Vorpommern,MV
13003,201713003,2017,Rostock,13.100000000000001,Mecklenburg-Vorpommern,MV
13004,201313004,2013,Schwerin,16.6,Mecklenburg-Vorpommern,MV
13004,201713004,2017,Schwerin,15.600000000000001,Mecklenburg-Vorpommern,MV
13005,201313005,2013,Stralsund,,Mecklenburg-Vorpommern,MV
13005,201713005,2017,Stralsund,,Mecklenburg-Vorpommern,MV
13006,201313006,2013,Wismar,,Mecklenburg-Vorpommern,MV
13006,201713006,2017,Wismar,,Mecklenburg-Vorpommern,MV
13051,201313051,2013,Landkreis Bad Doberan,,Mecklenburg-Vorpommern,MV
13051,201713051,2017,Landkreis Bad Doberan,,Mecklenburg-Vorpommern,MV
13052,201313052,2013,Landkreis Demmin,,Mecklenburg-Vorpommern,MV
13052,201713052,2017,Landkreis Demmin,,Mecklenburg-Vorpommern,MV
13053,201313053,2013,Landkreis Güstrow,,Mecklenburg-Vorpommern,MV
13053,201713053,2017,Landkreis Güstrow,,Mecklenburg-Vorpommern,MV
13054,201313054,2013,Landkreis Ludwigslust,,Mecklenburg-Vorpommern,MV
13054,201713054,2017,Landkreis Ludwigslust,,Mecklenburg-Vorpommern,MV
13055,201313055,2013,Landkreis Mecklenburg-Strelitz,,Mecklenburg-Vorpommern,MV
13055,201713055,2017,Landkreis Mecklenburg-Strelitz,,Mecklenburg-Vorpommern,MV
13056,201313056,2013,Landkreis Müritz,,Mecklenburg-Vorpommern,MV
13056,201713056,2017,Landkreis Müritz,,Mecklenburg-Vorpommern,MV
13057,201313057,2013,Landkreis Nordvorpommern,,Mecklenburg-Vorpommern,MV
13057,201713057,2017,Landkreis Nordvorpommern,,Mecklenburg-Vorpommern,MV
13058,201313058,2013,Landkreis Nordwestmecklenburg,,Mecklenburg-Vorpommern,MV
