,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
5124,201305124,2013,Wuppertal,32858.0,Nordrhein-Westfalen,NW
5124,201605124,2016,Wuppertal,37186.0,Nordrhein-Westfalen,NW
5154,200005154,2000,Kreis Kleve,17893.0,Nordrhein-Westfalen,NW
5154,200505154,2005,Kreis Kleve,19462.0,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,22954.0,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,26160.0,Nordrhein-Westfalen,NW
5154,201605154,2016,Kreis Kleve,28744.0,Nordrhein-Westfalen,NW
5158,200005158,2000,Kreis Mettmann,26733.0,Nordrhein-Westfalen,NW
5158,200505158,2005,Kreis Mettmann,30154.0,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,33811.0,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,35574.0,Nordrhein-Westfalen,NW
5158,201605158,2016,Kreis Mettmann,38941.0,Nordrhein-Westfalen,NW
5162,200005162,2000,Rhein-Kreis Neuss,25939.0,Nordrhein-Westfalen,NW
5162,200505162,2005,Rhein-Kreis Neuss,32048.0,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,34788.0,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,37992.0,Nordrhein-Westfalen,NW
5162,201605162,2016,Rhein-Kreis Neuss,39971.0,Nordrhein-Westfalen,NW
5166,200005166,2000,Kreis Viersen,20924.0,Nordrhein-Westfalen,NW
5166,200505166,2005,Kreis Viersen,22188.0,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,23691.0,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,25673.0,Nordrhein-Westfalen,NW
5166,201605166,2016,Kreis Viersen,28129.0,Nordrhein-Westfalen,NW
5170,200005170,2000,Kreis Wesel,17543.0,Nordrhein-Westfalen,NW
5170,200505170,2005,Kreis Wesel,20072.0,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,22613.0,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,25867.0,Nordrhein-Westfalen,NW
5170,201605170,2016,Kreis Wesel,27614.0,Nordrhein-Westfalen,NW
5314,200005314,2000,Bonn,57421.0,Nordrhein-Westfalen,NW
5314,200505314,2005,Bonn,59490.0,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,74915.0,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,72755.0,Nordrhein-Westfalen,NW
5314,201605314,2016,Bonn,71222.0,Nordrhein-Westfalen,NW
5315,200005315,2000,Köln,43505.0,Nordrhein-Westfalen,NW
5315,200505315,2005,Köln,45390.0,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,48507.0,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,51994.0,Nordrhein-Westfalen,NW
5315,201605315,2016,Köln,59407.0,Nordrhein-Westfalen,NW
5316,200005316,2000,Leverkusen,43251.0,Nordrhein-Westfalen,NW
5316,200505316,2005,Leverkusen,42554.0,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,38082.0,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,41989.0,Nordrhein-Westfalen,NW
5316,201605316,2016,Leverkusen,46572.0,Nordrhein-Westfalen,NW
5334,200005334,2000,Aachen,25990.0,Nordrhein-Westfalen,NW
5334,200505334,2005,Aachen,26898.0,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,29207.0,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,32248.0,Nordrhein-Westfalen,NW
5334,201605334,2016,Aachen,37124.0,Nordrhein-Westfalen,NW
5354,200005354,2000,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,200505354,2005,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201605354,2016,Kreis Aachen,,Nordrhein-Westfalen,NW
5358,200005358,2000,Kreis Düren,20814.0,Nordrhein-Westfalen,NW
5358,200505358,2005,Kreis Düren,21242.0,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,23638.0,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,26233.0,Nordrhein-Westfalen,NW
5358,201605358,2016,Kreis Düren,28004.0,Nordrhein-Westfalen,NW
5362,200005362,2000,Rhein-Erft-Kreis,23272.0,Nordrhein-Westfalen,NW
5362,200505362,2005,Rhein-Erft-Kreis,25969.0,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,28190.0,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,31891.0,Nordrhein-Westfalen,NW
5362,201605362,2016,Rhein-Erft-Kreis,35213.0,Nordrhein-Westfalen,NW
5366,200005366,2000,Kreis Euskirchen,19236.0,Nordrhein-Westfalen,NW
5366,200505366,2005,Kreis Euskirchen,21245.0,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,21685.0,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,24517.0,Nordrhein-Westfalen,NW
5366,201605366,2016,Kreis Euskirchen,26182.0,Nordrhein-Westfalen,NW
5370,200005370,2000,Kreis Heinsberg,15757.0,Nordrhein-Westfalen,NW
5370,200505370,2005,Kreis Heinsberg,17598.0,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,18660.0,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,22455.0,Nordrhein-Westfalen,NW
5370,201605370,2016,Kreis Heinsberg,24456.0,Nordrhein-Westfalen,NW
5374,200005374,2000,Oberbergischer Kreis,23346.0,Nordrhein-Westfalen,NW
5374,200505374,2005,Oberbergischer Kreis,24772.0,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,26083.0,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,31237.0,Nordrhein-Westfalen,NW
5374,201605374,2016,Oberbergischer Kreis,35027.0,Nordrhein-Westfalen,NW
5378,200005378,2000,Rheinisch-Bergischer Kreis,19610.0,Nordrhein-Westfalen,NW
5378,200505378,2005,Rheinisch-Bergischer Kreis,20362.0,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,20719.0,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,23024.0,Nordrhein-Westfalen,NW
5378,201605378,2016,Rheinisch-Bergischer Kreis,25661.0,Nordrhein-Westfalen,NW
5382,200005382,2000,Rhein-Sieg-Kreis,19372.0,Nordrhein-Westfalen,NW
5382,200505382,2005,Rhein-Sieg-Kreis,21278.0,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,23211.0,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,27309.0,Nordrhein-Westfalen,NW
5382,201605382,2016,Rhein-Sieg-Kreis,27570.0,Nordrhein-Westfalen,NW
5512,200005512,2000,Bottrop,15147.0,Nordrhein-Westfalen,NW
5512,200505512,2005,Bottrop,16356.0,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,18518.0,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,20293.0,Nordrhein-Westfalen,NW
5512,201605512,2016,Bottrop,21229.0,Nordrhein-Westfalen,NW
5513,200005513,2000,Gelsenkirchen,22131.0,Nordrhein-Westfalen,NW
5513,200505513,2005,Gelsenkirchen,23380.0,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,25889.0,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,29196.0,Nordrhein-Westfalen,NW
5513,201605513,2016,Gelsenkirchen,29284.0,Nordrhein-Westfalen,NW
5515,200005515,2000,Münster,46444.0,Nordrhein-Westfalen,NW
5515,200505515,2005,Münster,52235.0,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,52381.0,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,53283.0,Nordrhein-Westfalen,NW
5515,201605515,2016,Münster,56612.0,Nordrhein-Westfalen,NW
5554,200005554,2000,Kreis Borken,22525.0,Nordrhein-Westfalen,NW
5554,200505554,2005,Kreis Borken,23728.0,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,26699.0,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,31683.0,Nordrhein-Westfalen,NW
5554,201605554,2016,Kreis Borken,35343.0,Nordrhein-Westfalen,NW
5558,200005558,2000,Kreis Coesfeld,18805.0,Nordrhein-Westfalen,NW
5558,200505558,2005,Kreis Coesfeld,20228.0,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,21758.0,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,24962.0,Nordrhein-Westfalen,NW
5558,201605558,2016,Kreis Coesfeld,27375.0,Nordrhein-Westfalen,NW
5562,200005562,2000,Kreis Recklinghausen,15666.0,Nordrhein-Westfalen,NW
5562,200505562,2005,Kreis Recklinghausen,18593.0,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,21047.0,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,23760.0,Nordrhein-Westfalen,NW
5562,201605562,2016,Kreis Recklinghausen,24482.0,Nordrhein-Westfalen,NW
5566,200005566,2000,Kreis Steinfurt,20026.0,Nordrhein-Westfalen,NW
5566,200505566,2005,Kreis Steinfurt,21752.0,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,23775.0,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,27764.0,Nordrhein-Westfalen,NW
5566,201605566,2016,Kreis Steinfurt,30965.0,Nordrhein-Westfalen,NW
5570,200005570,2000,Kreis Warendorf,21095.0,Nordrhein-Westfalen,NW
5570,200505570,2005,Kreis Warendorf,22310.0,Nordrhein-Westfalen,NW
5570,200905570,2009,Kreis Warendorf,25106.0,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,28906.0,Nordrhein-Westfalen,NW
5570,201605570,2016,Kreis Warendorf,30605.0,Nordrhein-Westfalen,NW
5711,200005711,2000,Bielefeld,27384.0,Nordrhein-Westfalen,NW
5711,200505711,2005,Bielefeld,28777.0,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,31358.0,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,35622.0,Nordrhein-Westfalen,NW
5711,201605711,2016,Bielefeld,38588.0,Nordrhein-Westfalen,NW
5754,200005754,2000,Kreis Gütersloh,30687.0,Nordrhein-Westfalen,NW
5754,200505754,2005,Kreis Gütersloh,32784.0,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,36493.0,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,43411.0,Nordrhein-Westfalen,NW
5754,201605754,2016,Kreis Gütersloh,46025.0,Nordrhein-Westfalen,NW
5758,200005758,2000,Kreis Herford,24691.0,Nordrhein-Westfalen,NW
5758,200505758,2005,Kreis Herford,26261.0,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,26499.0,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,30547.0,Nordrhein-Westfalen,NW
5758,201605758,2016,Kreis Herford,32884.0,Nordrhein-Westfalen,NW
5762,200005762,2000,Kreis Höxter,18694.0,Nordrhein-Westfalen,NW
5762,200505762,2005,Kreis Höxter,19494.0,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,21372.0,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,24687.0,Nordrhein-Westfalen,NW
5762,201605762,2016,Kreis Höxter,26719.0,Nordrhein-Westfalen,NW
5766,200005766,2000,Kreis Lippe,21064.0,Nordrhein-Westfalen,NW
5766,200505766,2005,Kreis Lippe,21800.0,Nordrhein-Westfalen,NW
5766,200905766,2009,Kreis Lippe,22942.0,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,27154.0,Nordrhein-Westfalen,NW
5766,201605766,2016,Kreis Lippe,29139.0,Nordrhein-Westfalen,NW
5770,200005770,2000,Kreis Minden-Lübbecke,27129.0,Nordrhein-Westfalen,NW
5770,200505770,2005,Kreis Minden-Lübbecke,28652.0,Nordrhein-Westfalen,NW
5770,200905770,2009,Kreis Minden-Lübbecke,30710.0,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,36136.0,Nordrhein-Westfalen,NW
5770,201605770,2016,Kreis Minden-Lübbecke,40298.0,Nordrhein-Westfalen,NW
5774,200005774,2000,Kreis Paderborn,23923.0,Nordrhein-Westfalen,NW
5774,200505774,2005,Kreis Paderborn,25258.0,Nordrhein-Westfalen,NW
5774,200905774,2009,Kreis Paderborn,28677.0,Nordrhein-Westfalen,NW
5774,201305774,2013,Kreis Paderborn,32060.0,Nordrhein-Westfalen,NW
5774,201605774,2016,Kreis Paderborn,35215.0,Nordrhein-Westfalen,NW
5911,200005911,2000,Bochum,24833.0,Nordrhein-Westfalen,NW
5911,200505911,2005,Bochum,24948.0,Nordrhein-Westfalen,NW
5911,200905911,2009,Bochum,26557.0,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,30385.0,Nordrhein-Westfalen,NW
5911,201605911,2016,Bochum,32596.0,Nordrhein-Westfalen,NW
5913,200005913,2000,Dortmund,24221.0,Nordrhein-Westfalen,NW
5913,200505913,2005,Dortmund,29266.0,Nordrhein-Westfalen,NW
5913,200905913,2009,Dortmund,30768.0,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,34172.0,Nordrhein-Westfalen,NW
5913,201605913,2016,Dortmund,36781.0,Nordrhein-Westfalen,NW
5914,200005914,2000,Hagen,25240.0,Nordrhein-Westfalen,NW
5914,200505914,2005,Hagen,26754.0,Nordrhein-Westfalen,NW
5914,200905914,2009,Hagen,28206.0,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,31901.0,Nordrhein-Westfalen,NW
5914,201605914,2016,Hagen,33048.0,Nordrhein-Westfalen,NW
5915,200005915,2000,Hamm,18554.0,Nordrhein-Westfalen,NW
5915,200505915,2005,Hamm,21450.0,Nordrhein-Westfalen,NW
5915,200905915,2009,Hamm,25103.0,Nordrhein-Westfalen,NW
5915,201305915,2013,Hamm,26723.0,Nordrhein-Westfalen,NW
5915,201605915,2016,Hamm,28101.0,Nordrhein-Westfalen,NW
5916,200005916,2000,Herne,15836.0,Nordrhein-Westfalen,NW
5916,200505916,2005,Herne,17847.0,Nordrhein-Westfalen,NW
5916,200905916,2009,Herne,20302.0,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,22391.0,Nordrhein-Westfalen,NW
5916,201605916,2016,Herne,22918.0,Nordrhein-Westfalen,NW
5954,200005954,2000,Ennepe-Ruhr-Kreis,20634.0,Nordrhein-Westfalen,NW
5954,200505954,2005,Ennepe-Ruhr-Kreis,22483.0,Nordrhein-Westfalen,NW
5954,200905954,2009,Ennepe-Ruhr-Kreis,24591.0,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,28112.0,Nordrhein-Westfalen,NW
5954,201605954,2016,Ennepe-Ruhr-Kreis,29803.0,Nordrhein-Westfalen,NW
5958,200005958,2000,Hochsauerlandkreis,23251.0,Nordrhein-Westfalen,NW
5958,200505958,2005,Hochsauerlandkreis,24347.0,Nordrhein-Westfalen,NW
5958,200905958,2009,Hochsauerlandkreis,26823.0,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,31220.0,Nordrhein-Westfalen,NW
5958,201605958,2016,Hochsauerlandkreis,34560.0,Nordrhein-Westfalen,NW
5962,200005962,2000,Märkischer Kreis,24917.0,Nordrhein-Westfalen,NW
5962,200505962,2005,Märkischer Kreis,25976.0,Nordrhein-Westfalen,NW
5962,200905962,2009,Märkischer Kreis,27398.0,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,33117.0,Nordrhein-Westfalen,NW
5962,201605962,2016,Märkischer Kreis,35610.0,Nordrhein-Westfalen,NW
5966,200005966,2000,Kreis Olpe,24097.0,Nordrhein-Westfalen,NW
5966,200505966,2005,Kreis Olpe,27038.0,Nordrhein-Westfalen,NW
5966,200905966,2009,Kreis Olpe,28585.0,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,35290.0,Nordrhein-Westfalen,NW
5966,201605966,2016,Kreis Olpe,38692.0,Nordrhein-Westfalen,NW
5970,200005970,2000,Kreis Siegen-Wittgenstein,25845.0,Nordrhein-Westfalen,NW
5970,200505970,2005,Kreis Siegen-Wittgenstein,28219.0,Nordrhein-Westfalen,NW
5970,200905970,2009,Kreis Siegen-Wittgenstein,31635.0,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,35875.0,Nordrhein-Westfalen,NW
5970,201605970,2016,Kreis Siegen-Wittgenstein,39218.0,Nordrhein-Westfalen,NW
5974,200005974,2000,Kreis Soest,24084.0,Nordrhein-Westfalen,NW
5974,200505974,2005,Kreis Soest,24512.0,Nordrhein-Westfalen,NW
5974,200905974,2009,Kreis Soest,27902.0,Nordrhein-Westfalen,NW
5974,201305974,2013,Kreis Soest,31305.0,Nordrhein-Westfalen,NW
5974,201605974,2016,Kreis Soest,33523.0,Nordrhein-Westfalen,NW
5978,200005978,2000,Kreis Unna,17732.0,Nordrhein-Westfalen,NW
5978,200505978,2005,Kreis Unna,20976.0,Nordrhein-Westfalen,NW
5978,200905978,2009,Kreis Unna,24061.0,Nordrhein-Westfalen,NW
5978,201305978,2013,Kreis Unna,26624.0,Nordrhein-Westfalen,NW
5978,201605978,2016,Kreis Unna,29719.0,Nordrhein-Westfalen,NW
6411,200006411,2000,Darmstadt,52566.0,Hessen,HE
6411,200506411,2005,Darmstadt,58182.0,Hessen,HE
6411,200906411,2009,Darmstadt,60841.0,Hessen,HE
6411,201306411,2013,Darmstadt,66983.0,Hessen,HE
6411,201606411,2016,Darmstadt,75085.0,Hessen,HE
6412,200006412,2000,Frankfurt (Main),78288.0,Hessen,HE
6412,200506412,2005,Frankfurt (Main),85203.0,Hessen,HE
6412,200906412,2009,Frankfurt (Main),86870.0,Hessen,HE
6412,201306412,2013,Frankfurt (Main),89903.0,Hessen,HE
6412,201606412,2016,Frankfurt (Main),91099.0,Hessen,HE
6413,200006413,2000,Offenbach am Main,37416.0,Hessen,HE
6413,200506413,2005,Offenbach am Main,37214.0,Hessen,HE
6413,200906413,2009,Offenbach am Main,35690.0,Hessen,HE
6413,201306413,2013,Offenbach am Main,36745.0,Hessen,HE
6413,201606413,2016,Offenbach am Main,36562.0,Hessen,HE
6414,200006414,2000,Wiesbaden,44878.0,Hessen,HE
6414,200506414,2005,Wiesbaden,49222.0,Hessen,HE
6414,200906414,2009,Wiesbaden,52242.0,Hessen,HE
6414,201306414,2013,Wiesbaden,56642.0,Hessen,HE
6414,201606414,2016,Wiesbaden,61913.0,Hessen,HE
6431,200006431,2000,Landkreis Bergstrasse,21157.0,Hessen,HE
6431,200506431,2005,Landkreis Bergstrasse,26153.0,Hessen,HE
6431,200906431,2009,Landkreis Bergstrasse,25064.0,Hessen,HE
6431,201306431,2013,Landkreis Bergstrasse,28682.0,Hessen,HE
6431,201606431,2016,Landkreis Bergstrasse,29462.0,Hessen,HE
6432,200006432,2000,Landkreis Darmstadt-Dieburg,18298.0,Hessen,HE
6432,200506432,2005,Landkreis Darmstadt-Dieburg,19610.0,Hessen,HE
6432,200906432,2009,Landkreis Darmstadt-Dieburg,21008.0,Hessen,HE
6432,201306432,2013,Landkreis Darmstadt-Dieburg,24535.0,Hessen,HE
6432,201606432,2016,Landkreis Darmstadt-Dieburg,26763.0,Hessen,HE
6433,200006433,2000,Landkreis Groß-Gerau,36090.0,Hessen,HE
6433,200506433,2005,Landkreis Groß-Gerau,35783.0,Hessen,HE
6433,200906433,2009,Landkreis Groß-Gerau,34486.0,Hessen,HE
6433,201306433,2013,Landkreis Groß-Gerau,37213.0,Hessen,HE
6433,201606433,2016,Landkreis Groß-Gerau,44114.0,Hessen,HE
6434,200006434,2000,Hochtaunuskreis,36791.0,Hessen,HE
6434,200506434,2005,Hochtaunuskreis,40507.0,Hessen,HE
6434,200906434,2009,Hochtaunuskreis,41333.0,Hessen,HE
6434,201306434,2013,Hochtaunuskreis,40654.0,Hessen,HE
6434,201606434,2016,Hochtaunuskreis,43504.0,Hessen,HE
6435,200006435,2000,Main-Kinzig-Kreis,24619.0,Hessen,HE
6435,200506435,2005,Main-Kinzig-Kreis,25747.0,Hessen,HE
6435,200906435,2009,Main-Kinzig-Kreis,27079.0,Hessen,HE
6435,201306435,2013,Main-Kinzig-Kreis,30615.0,Hessen,HE
6435,201606435,2016,Main-Kinzig-Kreis,32786.0,Hessen,HE
6436,200006436,2000,Main-Taunus-Kreis,44008.0,Hessen,HE
6436,200506436,2005,Main-Taunus-Kreis,42260.0,Hessen,HE
6436,200906436,2009,Main-Taunus-Kreis,44988.0,Hessen,HE
6436,201306436,2013,Main-Taunus-Kreis,47641.0,Hessen,HE
6436,201606436,2016,Main-Taunus-Kreis,51581.0,Hessen,HE
6437,200006437,2000,Odenwaldkreis,17973.0,Hessen,HE
6437,200506437,2005,Odenwaldkreis,20941.0,Hessen,HE
6437,200906437,2009,Odenwaldkreis,19925.0,Hessen,HE
6437,201306437,2013,Odenwaldkreis,23718.0,Hessen,HE
6437,201606437,2016,Odenwaldkreis,26362.0,Hessen,HE
6438,200006438,2000,Landkreis Offenbach,26689.0,Hessen,HE
6438,200506438,2005,Landkreis Offenbach,30317.0,Hessen,HE
6438,200906438,2009,Landkreis Offenbach,33192.0,Hessen,HE
6438,201306438,2013,Landkreis Offenbach,36864.0,Hessen,HE
6438,201606438,2016,Landkreis Offenbach,39267.0,Hessen,HE
6439,200006439,2000,Rheingau-Taunus-Kreis,17863.0,Hessen,HE
6439,200506439,2005,Rheingau-Taunus-Kreis,19930.0,Hessen,HE
6439,200906439,2009,Rheingau-Taunus-Kreis,19778.0,Hessen,HE
6439,201306439,2013,Rheingau-Taunus-Kreis,22399.0,Hessen,HE
6439,201606439,2016,Rheingau-Taunus-Kreis,24179.0,Hessen,HE
6440,200006440,2000,Wetteraukreis,19035.0,Hessen,HE
6440,200506440,2005,Wetteraukreis,22406.0,Hessen,HE
6440,200906440,2009,Wetteraukreis,22841.0,Hessen,HE
6440,201306440,2013,Wetteraukreis,26044.0,Hessen,HE
6440,201606440,2016,Wetteraukreis,28022.0,Hessen,HE
6531,200006531,2000,Landkreis Gießen,27204.0,Hessen,HE
6531,200506531,2005,Landkreis Gießen,28864.0,Hessen,HE
6531,200906531,2009,Landkreis Gießen,29131.0,Hessen,HE
6531,201306531,2013,Landkreis Gießen,31126.0,Hessen,HE
6531,201606531,2016,Landkreis Gießen,34318.0,Hessen,HE
6532,200006532,2000,Lahn-Dill Kreis,23306.0,Hessen,HE
6532,200506532,2005,Lahn-Dill Kreis,26104.0,Hessen,HE
6532,200906532,2009,Lahn-Dill Kreis,26991.0,Hessen,HE
6532,201306532,2013,Lahn-Dill Kreis,29963.0,Hessen,HE
6532,201606532,2016,Lahn-Dill Kreis,32192.0,Hessen,HE
6533,200006533,2000,Landkreis Limburg-Weilburg,18891.0,Hessen,HE
6533,200506533,2005,Landkreis Limburg-Weilburg,20848.0,Hessen,HE
6533,200906533,2009,Landkreis Limburg-Weilburg,22838.0,Hessen,HE
6533,201306533,2013,Landkreis Limburg-Weilburg,25654.0,Hessen,HE
6533,201606533,2016,Landkreis Limburg-Weilburg,28470.0,Hessen,HE
6534,200006534,2000,Landkreis Marburg-Biedenkopf,24470.0,Hessen,HE
6534,200506534,2005,Landkreis Marburg-Biedenkopf,27500.0,Hessen,HE
6534,200906534,2009,Landkreis Marburg-Biedenkopf,29264.0,Hessen,HE
6534,201306534,2013,Landkreis Marburg-Biedenkopf,32927.0,Hessen,HE
6534,201606534,2016,Landkreis Marburg-Biedenkopf,35064.0,Hessen,HE
6535,200006535,2000,Vogelsbergkreis,17451.0,Hessen,HE
6535,200506535,2005,Vogelsbergkreis,19481.0,Hessen,HE
6535,200906535,2009,Vogelsbergkreis,20013.0,Hessen,HE
6535,201306535,2013,Vogelsbergkreis,23822.0,Hessen,HE
6535,201606535,2016,Vogelsbergkreis,25693.0,Hessen,HE
6611,200006611,2000,Kassel,36324.0,Hessen,HE
6611,200506611,2005,Kassel,40350.0,Hessen,HE
6611,200906611,2009,Kassel,43097.0,Hessen,HE
6611,201306611,2013,Kassel,44986.0,Hessen,HE
6611,201606611,2016,Kassel,49937.0,Hessen,HE
6631,200006631,2000,Landkreis Fulda,24181.0,Hessen,HE
6631,200506631,2005,Landkreis Fulda,26755.0,Hessen,HE
6631,200906631,2009,Landkreis Fulda,29634.0,Hessen,HE
6631,201306631,2013,Landkreis Fulda,33633.0,Hessen,HE
6631,201606631,2016,Landkreis Fulda,36184.0,Hessen,HE
6632,200006632,2000,Landkreis Hersfeld-Rotenburg,23499.0,Hessen,HE
6632,200506632,2005,Landkreis Hersfeld-Rotenburg,25950.0,Hessen,HE
6632,200906632,2009,Landkreis Hersfeld-Rotenburg,30122.0,Hessen,HE
6632,201306632,2013,Landkreis Hersfeld-Rotenburg,34494.0,Hessen,HE
6632,201606632,2016,Landkreis Hersfeld-Rotenburg,34052.0,Hessen,HE
6633,200006633,2000,Landkreis Kassel (Land),20242.0,Hessen,HE
6633,200506633,2005,Landkreis Kassel (Land),20881.0,Hessen,HE
6633,200906633,2009,Landkreis Kassel (Land),21130.0,Hessen,HE
6633,201306633,2013,Landkreis Kassel (Land),25431.0,Hessen,HE
6633,201606633,2016,Landkreis Kassel (Land),32467.0,Hessen,HE
6634,200006634,2000,Schwalm-Eder Kreis,19108.0,Hessen,HE
6634,200506634,2005,Schwalm-Eder Kreis,22498.0,Hessen,HE
6634,200906634,2009,Schwalm-Eder Kreis,23335.0,Hessen,HE
6634,201306634,2013,Schwalm-Eder Kreis,27802.0,Hessen,HE
6634,201606634,2016,Schwalm-Eder Kreis,29677.0,Hessen,HE
6635,200006635,2000,Landkreis Waldeck-Frankenberg,23012.0,Hessen,HE
6635,200506635,2005,Landkreis Waldeck-Frankenberg,25368.0,Hessen,HE
6635,200906635,2009,Landkreis Waldeck-Frankenberg,26216.0,Hessen,HE
6635,201306635,2013,Landkreis Waldeck-Frankenberg,31519.0,Hessen,HE
6635,201606635,2016,Landkreis Waldeck-Frankenberg,35038.0,Hessen,HE
6636,200006636,2000,Werra-Meißner Kreis,18664.0,Hessen,HE
6636,200506636,2005,Werra-Meißner Kreis,20064.0,Hessen,HE
6636,200906636,2009,Werra-Meißner Kreis,20606.0,Hessen,HE
6636,201306636,2013,Werra-Meißner Kreis,23312.0,Hessen,HE
6636,201606636,2016,Werra-Meißner Kreis,24172.0,Hessen,HE
7111,200007111,2000,Koblenz,52975.0,Rheinland-Pfalz,RP
7111,200507111,2005,Koblenz,58752.0,Rheinland-Pfalz,RP
7111,200907111,2009,Koblenz,59372.0,Rheinland-Pfalz,RP
7111,201307111,2013,Koblenz,64879.0,Rheinland-Pfalz,RP
7111,201607111,2016,Koblenz,69504.0,Rheinland-Pfalz,RP
7131,200007131,2000,Landkreis Ahrweiler,16435.0,Rheinland-Pfalz,RP
7131,200507131,2005,Landkreis Ahrweiler,17646.0,Rheinland-Pfalz,RP
7131,200907131,2009,Landkreis Ahrweiler,19598.0,Rheinland-Pfalz,RP
7131,201307131,2013,Landkreis Ahrweiler,22910.0,Rheinland-Pfalz,RP
