,YearSchluessel,Year,Stadt-/Landkreis,Verfügbares Einkommen je Einwohner in EUR,LAND_NAME,LAND_ABK
3359,200203359,2002,Landkreis Stade,16721.0,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,17867.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,19022.0,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,20843.0,Niedersachsen,NI
3359,201603359,2016,Landkreis Stade,21968.0,Niedersachsen,NI
3360,200203360,2002,Landkreis Uelzen,14839.0,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,15737.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,17071.0,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,19703.0,Niedersachsen,NI
3360,201603360,2016,Landkreis Uelzen,20387.0,Niedersachsen,NI
3361,200203361,2002,Landkreis Verden,17444.0,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,18681.0,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,20437.0,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,22037.0,Niedersachsen,NI
3361,201603361,2016,Landkreis Verden,23066.0,Niedersachsen,NI
3401,200203401,2002,Delmenhorst,15695.0,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,16375.0,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,17072.0,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,18003.0,Niedersachsen,NI
3401,201603401,2016,Delmenhorst,18845.0,Niedersachsen,NI
3402,200203402,2002,Emden,14769.0,Niedersachsen,NI
3402,200503402,2005,Emden,15676.0,Niedersachsen,NI
3402,200903402,2009,Emden,16484.0,Niedersachsen,NI
3402,201303402,2013,Emden,17517.0,Niedersachsen,NI
3402,201603402,2016,Emden,18593.0,Niedersachsen,NI
3403,200203403,2002,Oldenburg,15223.0,Niedersachsen,NI
3403,200503403,2005,Oldenburg,16485.0,Niedersachsen,NI
3403,200903403,2009,Oldenburg,17667.0,Niedersachsen,NI
3403,201303403,2013,Oldenburg,18396.0,Niedersachsen,NI
3403,201603403,2016,Oldenburg,19244.0,Niedersachsen,NI
3404,200203404,2002,Osnabrück,16245.0,Niedersachsen,NI
3404,200503404,2005,Osnabrück,17687.0,Niedersachsen,NI
3404,200903404,2009,Osnabrück,19030.0,Niedersachsen,NI
3404,201303404,2013,Osnabrück,20273.0,Niedersachsen,NI
3404,201603404,2016,Osnabrück,20445.0,Niedersachsen,NI
3405,200203405,2002,Wilhelmshaven,14219.0,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,15014.0,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,15735.0,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,16816.0,Niedersachsen,NI
3405,201603405,2016,Wilhelmshaven,18047.0,Niedersachsen,NI
3451,200203451,2002,Landkreis Ammerland,15831.0,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,17181.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,18787.0,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,20400.0,Niedersachsen,NI
3451,201603451,2016,Landkreis Ammerland,21515.0,Niedersachsen,NI
3452,200203452,2002,Landkreis Aurich,13795.0,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,14669.0,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,16262.0,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,18267.0,Niedersachsen,NI
3452,201603452,2016,Landkreis Aurich,19701.0,Niedersachsen,NI
3453,200203453,2002,Landkreis Cloppenburg,14244.0,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,15322.0,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,16911.0,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,19097.0,Niedersachsen,NI
3453,201603453,2016,Landkreis Cloppenburg,19820.0,Niedersachsen,NI
3454,200203454,2002,Landkreis Emsland,14064.0,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,15284.0,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,17048.0,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,19321.0,Niedersachsen,NI
3454,201603454,2016,Landkreis Emsland,20469.0,Niedersachsen,NI
3455,200203455,2002,Landkreis Friesland,14576.0,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,15396.0,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,16719.0,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,19036.0,Niedersachsen,NI
3455,201603455,2016,Landkreis Friesland,20242.0,Niedersachsen,NI
3456,200203456,2002,Landkreis Grafschaft Bentheim,14244.0,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,14982.0,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,16158.0,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,18364.0,Niedersachsen,NI
3456,201603456,2016,Landkreis Grafschaft Bentheim,19439.0,Niedersachsen,NI
3457,200203457,2002,Landkreis Leer,13498.0,Niedersachsen,NI
3457,200503457,2005,Landkreis Leer,14650.0,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,15814.0,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,17405.0,Niedersachsen,NI
3457,201603457,2016,Landkreis Leer,18614.0,Niedersachsen,NI
3458,200203458,2002,Landkreis Oldenburg (Land),15840.0,Niedersachsen,NI
3458,200503458,2005,Landkreis Oldenburg (Land),17179.0,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),18974.0,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),21237.0,Niedersachsen,NI
3458,201603458,2016,Landkreis Oldenburg (Land),22378.0,Niedersachsen,NI
3459,200203459,2002,Landkreis Osnabrück (Land),16136.0,Niedersachsen,NI
3459,200503459,2005,Landkreis Osnabrück (Land),17438.0,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),18756.0,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),20764.0,Niedersachsen,NI
3459,201603459,2016,Landkreis Osnabrück (Land),21923.0,Niedersachsen,NI
3460,200203460,2002,Landkreis Vechta,16347.0,Niedersachsen,NI
3460,200503460,2005,Landkreis Vechta,18122.0,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,19565.0,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,21026.0,Niedersachsen,NI
3460,201603460,2016,Landkreis Vechta,21502.0,Niedersachsen,NI
3461,200203461,2002,Landkreis Wesermarsch,14965.0,Niedersachsen,NI
3461,200503461,2005,Landkreis Wesermarsch,16072.0,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,17433.0,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,19630.0,Niedersachsen,NI
3461,201603461,2016,Landkreis Wesermarsch,20760.0,Niedersachsen,NI
3462,200203462,2002,Landkreis Wittmund,13843.0,Niedersachsen,NI
3462,200503462,2005,Landkreis Wittmund,15311.0,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,16722.0,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,19124.0,Niedersachsen,NI
3462,201603462,2016,Landkreis Wittmund,20270.0,Niedersachsen,NI
4011,200204011,2002,Bremen,17085.0,Bremen,HB
4011,200504011,2005,Bremen,18019.0,Bremen,HB
4011,200904011,2009,Bremen,19729.0,Bremen,HB
4011,201304011,2013,Bremen,20311.0,Bremen,HB
4011,201604011,2016,Bremen,21327.0,Bremen,HB
4012,200204012,2002,Bremerhaven,14702.0,Bremen,HB
4012,200504012,2005,Bremerhaven,15748.0,Bremen,HB
4012,200904012,2009,Bremerhaven,15323.0,Bremen,HB
4012,201304012,2013,Bremerhaven,17166.0,Bremen,HB
4012,201604012,2016,Bremerhaven,17741.0,Bremen,HB
5111,200205111,2002,Düsseldorf,20312.0,Nordrhein-Westfalen,NW
5111,200505111,2005,Düsseldorf,21792.0,Nordrhein-Westfalen,NW
5111,200905111,2009,Düsseldorf,22175.0,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,24140.0,Nordrhein-Westfalen,NW
5111,201605111,2016,Düsseldorf,24882.0,Nordrhein-Westfalen,NW
5112,200205112,2002,Duisburg,14073.0,Nordrhein-Westfalen,NW
5112,200505112,2005,Duisburg,14576.0,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,14950.0,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,16132.0,Nordrhein-Westfalen,NW
5112,201605112,2016,Duisburg,16881.0,Nordrhein-Westfalen,NW
5113,200205113,2002,Essen,17127.0,Nordrhein-Westfalen,NW
5113,200505113,2005,Essen,17772.0,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,18209.0,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,19297.0,Nordrhein-Westfalen,NW
5113,201605113,2016,Essen,20159.0,Nordrhein-Westfalen,NW
5114,200205114,2002,Krefeld,16871.0,Nordrhein-Westfalen,NW
5114,200505114,2005,Krefeld,17980.0,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,18669.0,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,19984.0,Nordrhein-Westfalen,NW
5114,201605114,2016,Krefeld,21115.0,Nordrhein-Westfalen,NW
5116,200205116,2002,Mönchengladbach,17061.0,Nordrhein-Westfalen,NW
5116,200505116,2005,Mönchengladbach,17905.0,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,18433.0,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,19508.0,Nordrhein-Westfalen,NW
5116,201605116,2016,Mönchengladbach,20656.0,Nordrhein-Westfalen,NW
5117,200205117,2002,Mülheim an der Ruhr,18732.0,Nordrhein-Westfalen,NW
5117,200505117,2005,Mülheim an der Ruhr,20359.0,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,20670.0,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,21888.0,Nordrhein-Westfalen,NW
5117,201605117,2016,Mülheim an der Ruhr,23091.0,Nordrhein-Westfalen,NW
5119,200205119,2002,Oberhausen,14901.0,Nordrhein-Westfalen,NW
5119,200505119,2005,Oberhausen,15317.0,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,15786.0,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,17145.0,Nordrhein-Westfalen,NW
5119,201605119,2016,Oberhausen,18181.0,Nordrhein-Westfalen,NW
5120,200205120,2002,Remscheid,18304.0,Nordrhein-Westfalen,NW
5120,200505120,2005,Remscheid,19470.0,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,19801.0,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,21215.0,Nordrhein-Westfalen,NW
5120,201605120,2016,Remscheid,22413.0,Nordrhein-Westfalen,NW
5122,200205122,2002,Solingen,18986.0,Nordrhein-Westfalen,NW
5122,200505122,2005,Solingen,19961.0,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,20653.0,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,22280.0,Nordrhein-Westfalen,NW
5122,201605122,2016,Solingen,23357.0,Nordrhein-Westfalen,NW
5124,200205124,2002,Wuppertal,17638.0,Nordrhein-Westfalen,NW
5124,200505124,2005,Wuppertal,18656.0,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,18867.0,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,19907.0,Nordrhein-Westfalen,NW
5124,201605124,2016,Wuppertal,20759.0,Nordrhein-Westfalen,NW
