,YearSchluessel,Year,Stadt-/Landkreis,BIP je Arbeitsstunde in EUR,LAND_NAME,LAND_ABK
5112,200005112,2000,Duisburg,38.900000000000006,Nordrhein-Westfalen,NW
5112,200505112,2005,Duisburg,46.800000000000004,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,49.0,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,53.400000000000006,Nordrhein-Westfalen,NW
5112,201605112,2016,Duisburg,55.2,Nordrhein-Westfalen,NW
5113,200005113,2000,Essen,38.6,Nordrhein-Westfalen,NW
5113,200505113,2005,Essen,42.7,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,53.5,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,53.900000000000006,Nordrhein-Westfalen,NW
5113,201605113,2016,Essen,55.800000000000004,Nordrhein-Westfalen,NW
5114,200005114,2000,Krefeld,40.1,Nordrhein-Westfalen,NW
5114,200505114,2005,Krefeld,46.6,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,45.800000000000004,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,50.0,Nordrhein-Westfalen,NW
5114,201605114,2016,Krefeld,52.800000000000004,Nordrhein-Westfalen,NW
5116,200005116,2000,Mönchengladbach,34.800000000000004,Nordrhein-Westfalen,NW
5116,200505116,2005,Mönchengladbach,37.7,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,41.1,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,45.1,Nordrhein-Westfalen,NW
5116,201605116,2016,Mönchengladbach,49.7,Nordrhein-Westfalen,NW
5117,200005117,2000,Mülheim an der Ruhr,41.7,Nordrhein-Westfalen,NW
5117,200505117,2005,Mülheim an der Ruhr,50.300000000000004,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,58.0,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,49.800000000000004,Nordrhein-Westfalen,NW
5117,201605117,2016,Mülheim an der Ruhr,52.2,Nordrhein-Westfalen,NW
5119,200005119,2000,Oberhausen,34.7,Nordrhein-Westfalen,NW
5119,200505119,2005,Oberhausen,39.2,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,42.5,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,47.2,Nordrhein-Westfalen,NW
5119,201605119,2016,Oberhausen,48.5,Nordrhein-Westfalen,NW
5120,200005120,2000,Remscheid,34.9,Nordrhein-Westfalen,NW
5120,200505120,2005,Remscheid,38.6,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,39.1,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,46.0,Nordrhein-Westfalen,NW
5120,201605120,2016,Remscheid,48.800000000000004,Nordrhein-Westfalen,NW
5122,200005122,2000,Solingen,34.0,Nordrhein-Westfalen,NW
5122,200505122,2005,Solingen,38.900000000000006,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,40.800000000000004,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,46.5,Nordrhein-Westfalen,NW
5122,201605122,2016,Solingen,51.300000000000004,Nordrhein-Westfalen,NW
5124,200005124,2000,Wuppertal,38.6,Nordrhein-Westfalen,NW
