,YearSchluessel,Year,Stadt-/Landkreis,Arbeitsplatzdichte,"Anteil Erwerbst. Land- u. Forstwirtsch., Fischerei in %",Anteil Erwerbstätige Produzierendes Gewerbe in %,Anteil Erwerbstätige Verarbeitendes Gewerbe in %,Anteil Erwerbstätige Baugewerbe in %,Anteil Erwerbstätige Dienstleistungsbereiche in %,"Ant ET Handel, Verkehr, Gastgew., Inform., Kommun. In %","Ant ET Finanz-, Vers., Unt-dl., Grundst-, Wohngsw. In %","Ant ET Öffentl. u. sonst. DL, Erzieh., Gesundh. In %",LAND_NAME,LAND_ABK
3153,200903153,2009,Landkreis Goslar,696.6,1.1,22.0,15.700000000000001,4.6000000000000005,76.7,27.6,12.0,37.1,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,678.9000000000001,1.1,23.1,16.6,4.3,75.8,28.700000000000003,10.700000000000001,36.300000000000004,Niedersachsen,NI
3153,200203153,2002,Landkreis Goslar,674.7,1.1,26.0,18.6,5.300000000000001,72.8,27.900000000000002,9.9,35.0,Niedersachsen,NI
3154,201603154,2016,Landkreis Helmstedt,504.8,2.7,20.400000000000002,10.0,6.4,76.9,23.700000000000003,13.4,39.800000000000004,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,505.20000000000005,3.0,23.3,12.200000000000001,6.1000000000000005,74.0,23.6,11.100000000000001,39.2,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,482.8,3.1,22.6,11.600000000000001,5.800000000000001,74.0,24.700000000000003,9.200000000000001,40.1,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,476.5,3.0,23.3,10.700000000000001,6.0,73.7,25.700000000000003,10.0,38.0,Niedersachsen,NI
3154,200203154,2002,Landkreis Helmstedt,449.70000000000005,3.1,24.900000000000002,11.4,7.300000000000001,72.0,26.3,8.3,37.4,Niedersachsen,NI
3155,201603155,2016,Landkreis Northeim,739.1,4.0,27.5,21.1,5.6000000000000005,68.3,22.1,13.200000000000001,33.0,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,696.1,4.0,28.5,21.6,5.9,67.3,22.3,12.9,32.0,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,658.1,3.6,29.400000000000002,22.3,6.0,66.8,23.0,11.9,32.0,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,622.9000000000001,3.6,29.900000000000002,22.700000000000003,5.9,66.7,22.700000000000003,12.3,31.6,Niedersachsen,NI
3155,200203155,2002,Landkreis Northeim,616.8000000000001,4.1000000000000005,31.200000000000003,23.400000000000002,6.6000000000000005,64.7,23.900000000000002,9.700000000000001,31.1,Niedersachsen,NI
3156,201603156,2016,Landkreis Osterode am Harz,,,,,,,,,,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,,,,,,,,,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,,,,,,,,,,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,,,,,,,,,,Niedersachsen,NI
3156,200203156,2002,Landkreis Osterode am Harz,,,,,,,,,,Niedersachsen,NI
3157,201603157,2016,Landkreis Peine,525.5,1.6,24.400000000000002,15.3,6.9,73.8,25.700000000000003,15.100000000000001,33.0,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,525.2,1.8,25.3,15.3,7.0,72.7,26.6,13.5,32.5,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,515.2,2.1,25.900000000000002,16.5,6.7,72.0,27.1,13.100000000000001,31.900000000000002,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,515.8000000000001,2.0,26.8,17.900000000000002,6.5,70.9,29.3,12.3,29.3,Niedersachsen,NI
3157,200203157,2002,Landkreis Peine,496.70000000000005,2.1,32.2,20.5,7.6000000000000005,65.7,27.1,10.3,28.3,Niedersachsen,NI
3158,201603158,2016,Landkreis Wolfenbüttel,480.70000000000005,2.7,20.1,10.5,7.0,77.2,20.6,12.9,43.7,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,478.90000000000003,3.0,20.0,10.3,7.300000000000001,77.0,21.1,13.5,42.400000000000006,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,450.5,3.4000000000000004,21.0,11.600000000000001,7.6000000000000005,75.60000000000001,21.5,13.0,41.1,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,431.5,3.4000000000000004,21.6,13.100000000000001,7.4,75.0,22.400000000000002,12.5,40.1,Niedersachsen,NI
3158,200203158,2002,Landkreis Wolfenbüttel,411.5,3.5,22.700000000000003,13.4,8.4,73.8,23.3,11.600000000000001,39.0,Niedersachsen,NI
3159,201603159,2016,Landkreis Göttingen,812.1,0.9,20.700000000000003,15.5,4.3,78.30000000000001,22.900000000000002,13.9,41.6,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,1.1,21.400000000000002,16.0,4.4,77.5,23.200000000000003,13.8,40.400000000000006,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,1.1,22.0,16.5,4.4,76.80000000000001,23.5,13.200000000000001,40.1,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,1.1,23.900000000000002,18.6,4.2,74.9,23.200000000000003,12.3,39.5,Niedersachsen,NI
3159,200203159,2002,Landkreis Göttingen,,1.2000000000000002,25.6,19.5,5.2,73.3,23.6,11.0,38.7,Niedersachsen,NI
3241,201603241,2016,Hannover,893.5,0.5,16.8,11.200000000000001,4.2,82.7,27.0,20.700000000000003,34.9,Niedersachsen,NI
3241,201303241,2013,Hannover,878.1,0.6000000000000001,17.400000000000002,11.5,4.3,82.10000000000001,27.3,20.700000000000003,34.1,Niedersachsen,NI
3241,200903241,2009,Hannover,842.1,0.6000000000000001,17.0,11.4,4.1000000000000005,82.4,28.3,20.6,33.6,Niedersachsen,NI
3241,200503241,2005,Hannover,791.1,0.6000000000000001,18.6,12.600000000000001,4.4,80.80000000000001,27.1,20.1,33.6,Niedersachsen,NI
3241,200203241,2002,Hannover,797.9000000000001,0.6000000000000001,20.0,13.700000000000001,4.800000000000001,79.4,28.8,18.7,31.900000000000002,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,711.8000000000001,4.9,25.1,16.7,6.9,70.0,29.5,12.4,28.1,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,708.6,5.4,24.1,15.8,6.800000000000001,70.5,30.400000000000002,12.4,27.700000000000003,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,657.6,4.5,23.400000000000002,15.4,6.6000000000000005,72.10000000000001,32.2,12.8,27.1,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,636.2,4.6000000000000005,23.1,15.4,6.5,72.3,34.5,11.0,26.8,Niedersachsen,NI
3251,200203251,2002,Landkreis Diepholz,607.1,4.9,25.3,16.400000000000002,7.7,69.8,31.700000000000003,10.8,27.3,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,765.8000000000001,1.7000000000000002,24.400000000000002,17.3,5.5,73.9,22.5,15.700000000000001,35.7,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,745.0,2.0,24.1,16.900000000000002,5.6000000000000005,73.9,23.700000000000003,15.200000000000001,35.1,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,717.2,2.0,22.8,16.1,5.0,75.2,24.400000000000002,15.600000000000001,35.300000000000004,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,700.0,1.9000000000000001,25.3,18.900000000000002,5.2,72.8,23.5,15.600000000000001,33.800000000000004,Niedersachsen,NI
3252,200203252,2002,Landkreis Hameln-Pyrmont,715.1,1.8,28.200000000000003,21.1,5.300000000000001,69.8,23.700000000000003,13.9,32.2,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,704.1,1.0,24.8,17.8,5.800000000000001,74.10000000000001,23.6,12.8,37.7,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,691.7,1.2000000000000002,25.5,18.3,5.800000000000001,73.4,25.700000000000003,11.600000000000001,36.2,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,664.5,1.6,27.200000000000003,20.1,5.9,71.3,24.400000000000002,10.8,36.1,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,667.3000000000001,1.4000000000000001,27.5,20.700000000000003,5.5,71.2,25.700000000000003,10.4,35.1,Niedersachsen,NI
3254,200203254,2002,Landkreis Hildesheim,645.9000000000001,1.5,29.400000000000002,21.700000000000003,6.7,68.9,24.1,9.9,35.0,Niedersachsen,NI
3255,201603255,2016,Landkreis Holzminden,689.5,2.0,36.800000000000004,29.3,5.9,60.900000000000006,20.8,10.4,29.6,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,661.7,2.0,36.800000000000004,29.400000000000002,6.0,61.2,22.1,10.0,29.1,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,660.9000000000001,2.3000000000000003,36.4,29.1,6.0,61.6,21.5,9.9,30.1,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,634.3000000000001,2.3000000000000003,38.7,32.1,5.6000000000000005,58.7,22.0,7.9,28.900000000000002,Niedersachsen,NI
3255,200203255,2002,Landkreis Holzminden,644.3000000000001,2.2,41.5,34.2,6.2,56.300000000000004,20.900000000000002,7.1000000000000005,28.3,Niedersachsen,NI
3256,201603256,2016,Landkreis Nienburg (Weser),713.0,4.7,26.700000000000003,17.7,7.300000000000001,68.7,23.8,11.3,33.6,Niedersachsen,NI
